planning_area,pre_primary,primary,secondary,post_secondary,polytechnic,prof_qualification_diploma,university,year,planningArea
Bedok,3290,14572,10517,3309,3923,580,7785,2020,BEDOK
Bukit Timah,1232,5916,4125,1582,617,151,3398,2020,BUKIT TIMAH
Bukit Batok,2077,8485,6604,2592,2686,500,4464,2020,BUKIT BATOK
Bukit Merah,1857,8530,4992,1739,1892,427,2758,2020,BUKIT MERAH
Central Water Catchment,0,0,0,0,0,0,0,2020,CENTRAL WATER CATCHMENT
Downtown Core,29,61,59,25,18,0,60,2020,DOWNTOWN CORE
Changi,0,0,0,0,0,0,0,2020,CHANGI
Changi Bay,0,0,0,0,0,0,0,2020,CHANGI BAY
Lim Chu Kang,0,0,0,0,0,0,0,2020,LIM CHU KANG
Boon Lay,0,0,0,0,0,0,0,2020,BOON LAY
Western Water Catchment,0,0,0,0,0,0,0,2020,WESTERN WATER CATCHMENT
Woodlands,3201,15395,12621,4312,6934,1067,6388,2020,WOODLANDS
Marine Parade,625,3048,2087,652,458,101,1313,2020,MARINE PARADE
Newton,0,0,0,0,0,0,0,2020,NEWTON
North-Eastern Islands,0,0,0,0,0,0,0,2020,NORTH-EASTERN ISLANDS
Orchard,0,0,0,0,0,0,0,2020,ORCHARD
Pasir Ris,1661,8529,6784,2273,3618,566,5838,2020,PASIR RIS
Pioneer,0,0,0,0,0,0,0,2020,PIONEER
Punggol,4921,16275,8685,1953,2699,356,2302,2020,PUNGGOL
Queenstown,1134,5364,3477,1095,1077,176,2030,2020,QUEENSTOWN
Sembawang,1726,7749,5455,1388,2388,273,2107,2020,SEMBAWANG
Simpang,0,0,0,0,0,0,0,2020,SIMPANG
